Location,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Colombia,11981.576,12295.965,12633.899,12993.849,13374.543,13774.999,14194.561,14632.794,15089.522,15564.624,16057.714,16567.817,17092.919,17629.978,18175.187,18725.242,19279.734,19837.508,20393.704,20942.453,21480.064,22003.983,22516.429,23024.512,23538.39,24065.502,24608.102,25164.544,25733.669,26312.996,26900.508,27496.608,28101.824,28714.183,29331.23,29951.194,30572.479,31195.417,31822.527,32457.497,33102.569,33758.328,34422.568,35091.272,35758.978,36421.438,37076.387,37723.803,38364.307,38999.468,39629.965,40255.956,40875.363,41483.872,42075.953,42647.731,43200.901,43737.512,44254.972,44750.054,45222.699,45662.747,46075.721,46495.492,46967.706,47520.667,48175.048,48909.844,49661.056,50339.443,50882.884,51265.841
Spain,28069.734,28219.62,28399.033,28600.36,28818.012,29048.392,29290.079,29543.626,29811.311,30096.577,30402.413,30729.65,31075.475,31432.768,31791.938,32146.255,32491.643,32830.181,33168.777,33517.677,33883.749,34267.463,34664.234,35069.433,35476.435,35879.21,36276.748,36666.77,37040.401,37386.81,37698.2,37971.968,38209.686,38413.3,38586.704,38733.866,38855.631,38954.49,39038.686,39118.555,39202.524,39299.081,39410.852,39533.726,39660.079,39787.413,39908.962,40035.286,40201.561,40454.472,40824.745,41319.431,41919.593,42596.455,43308.345,44019.118,44728.561,45429.071,46068.811,46583.566,46931.011,47084.242,47063.059,46930.554,46777.927,46671.919,46634.131,46647.425,46692.863,46736.782,46754.783,46745.211
Uganda,5158.191,5307.724,5452.857,5596.323,5740.774,5888.791,6042.926,6205.62,6379.221,6565.839,6767.092,6983.824,7215.799,7461.636,7719.108,7986.062,8263.434,8550.444,8841.156,9127.855,9405.606,9671.856,9929.644,10186.452,10453.029,10737.403,11042.975,11368.618,11712.54,12071.14,12442.333,12825.084,13221.991,13638.729,14082.87,14559.357,15070.319,15612.754,16180.129,16763.041,17354.395,17953.534,18561.668,19175.986,19793.541,20413.157,21032.817,21655.392,22290.787,22952.406,23650.159,24388.974,25167.261,25980.547,26821.3,27684.59,28571.475,29486.335,30431.734,31411.096,32428.164,33476.772,34558.7,35694.519,36911.53,38225.447,39649.173,41166.588,42729.032,44269.587,45741,47123.533
Argentina,17037.91,17390.378,17742.98,18094.29,18443.313,18789.415,19132.405,19472.473,19810.165,20146.307,20481.781,20817.27,21153.042,21488.916,21824.427,22159.644,22494.031,22828.872,23168.268,23517.613,23880.564,24259.564,24653.172,25056.475,25462.305,25865.775,26264.681,26661.397,27061.041,27471.046,27896.532,28338.514,28794.55,29262.049,29737.097,30216.284,30698.964,31184.411,31668.939,32148.137,32618.648,33079.002,33529.32,33970.103,34402.669,34828.168,35246.376,35657.438,36063.451,36467.218,36870.796,37275.644,37681.743,38087.866,38491.97,38892.924,39289.876,39684.303,40080.159,40482.786,40895.751,41320.497,41755.188,42196.034,42637.508,43075.416,43508.459,43937.143,44361.15,44780.675,45195.777,45605.823
Algeria,8872.25,9023.263,9186.15,9364.381,9560.147,9774.28,10006.145,10253.777,10514.077,10783.228,11057.864,11336.336,11619.828,11912.8,12221.675,12550.88,12902.626,13275.02,13663.581,14061.724,14464.992,14872.253,15285.992,15709.831,16149.018,16607.706,17085.799,17582.899,18102.266,18647.801,19221.659,19824.297,20452.901,21101.875,21763.578,22431.507,23102.386,23774.287,24443.472,25106.192,25758.872,26400.468,27028.33,27635.517,28213.777,28757.788,29266.415,29742.98,30192.75,30623.406,31042.238,31451.513,31855.11,32264.159,32692.153,33149.72,33641.007,34166.976,34730.604,35333.882,35977.451,36661.438,37383.899,38140.135,38923.688,39728.02,40551.398,41389.174,42228.415,43053.054,43851.043,44616.626
Sudan,5733.789,5884.651,6041.332,6204.099,6373.314,6549.294,6732.439,6923.115,7121.738,7328.726,7544.498,7769.475,8004.122,8248.818,8503.989,8770.094,9047.803,9337.662,9639.846,9954.411,10281.695,10621.471,10974.626,11343.923,11732.957,12144.128,12578.398,13034.631,13510.429,14002.302,14507.466,15027.254,15562.129,16107.613,16657.956,17210.182,17757.494,18303.43,18867.559,19476.653,20147.592,20891.442,21696.24,22527.837,23338.465,24094.741,24782.384,25413.912,26015.518,26626.512,27275.019,27971.077,28704.786,29460.517,30214.189,30949.514,31661.824,32360.619,33060.844,33783.779,34545.014,35349.676,36193.781,37072.555,37977.657,38902.948,39847.433,40813.398,41801.532,42813.237,43849.269,44909.351
Ukraine,37297.64,37815.54,38360.078,38915.814,39471.403,40019.483,40557.034,41085.019,41607.893,42132.44,42664.646,43206.353,43752.227,44288.607,44796.959,45264.552,45684.983,46063.219,46411.816,46749.289,47088.862,47435.008,47783.006,48125.829,48452.623,48755.662,49032.729,49287.118,49523.304,49747.998,49965.872,50176.399,50377.069,50568.025,50749.176,50919.275,51077.457,51219.911,51338.392,51422.338,51463.101,51461.273,51415.957,51316.013,51147.771,50903.783,50580.467,50187.28,49746.523,49288.739,48838.058,48401.648,47980.033,47582.463,47217.489,46890.775,46607.397,46366.347,46158.709,45970.942,45792.086,45619.85,45453.805,45286.988,45111.53,44921.636,44713.708,44487.708,44246.158,43993.643,43733.759,43466.822
Caribbean,17079.834,17381.543,17706.56,18046.155,18394.292,18747.715,19106.134,19472.041,19850.203,20246.854,20667.481,21114.092,21582.991,22063.999,22542.962,23009.852,23459.852,23895.936,24324.951,24757.631,25201.317,25658.336,26124.94,26595.06,27060.021,27513.667,27954.314,28384.495,28806.94,29226.134,29645.559,30065.06,30484.395,30906.729,31336.137,31775.147,32225.345,32684.867,33148.324,33607.983,34058.199,34496.471,34923.911,35342.112,35754.233,36162.184,36566.533,36965.453,37356.533,37736.196,38102.081,38453.513,38791.51,39117.911,39435.328,39745.797,40048.878,40344.281,40635.19,40925.443,41217.34,41514.617,41815.181,42108.681,42380.802,42622.28,42827.506,43002.43,43163.827,43335.006,43532.374,43761.962
Iraq,5719.183,5901.51,6065.011,6216.129,6360.437,6502.661,6646.635,6795.398,6951.159,7115.505,7289.753,7475.349,7674.217,7888.91,8122.199,8375.795,8651.162,8947.397,9260.687,9585.585,9917.978,10255.853,10599.661,10950.888,11312.062,11684.579,12068.675,12462.059,12860.678,13259.107,13653.348,14044.115,14432.466,14815.653,15190.396,15555.807,15909.764,16257.072,16612.319,16994.942,17419.113,17889.457,18402.74,18955.087,19539.348,20149.342,20783.073,21439.579,22114.33,22802.061,23497.589,24208.178,24931.922,25644.503,26313.838,26922.279,27448.124,27911.242,28385.739,28973.157,29741.977,30725.305,31890.012,33157.061,34411.949,35572.269,36610.632,37552.789,38433.604,39309.789,40222.503,41179.351
Afghanistan,7752.117,7840.151,7935.996,8039.684,8151.316,8270.992,8398.873,8535.157,8680.097,8833.947,8996.967,9169.406,9351.442,9543.2,9744.772,9956.318,10174.84,10399.936,10637.064,10893.772,11173.654,11475.45,11791.222,12108.963,12412.96,12689.164,12943.093,13171.294,13341.199,13411.06,13356.5,13171.679,12882.518,12537.732,12204.306,11938.204,11736.177,11604.538,11618.008,11868.873,12412.311,13299.016,14485.543,15816.601,17075.728,18110.662,18853.444,19357.126,19737.77,20170.847,20779.957,21606.992,22600.774,23680.871,24726.689,25654.274,26433.058,27100.542,27722.281,28394.806,29185.511,30117.411,31161.378,32269.592,33370.804,34413.603,35383.028,36296.111,37171.922,38041.757,38928.341,39835.428
Poland,24824.007,25283.013,25764.322,26260.482,26764.49,27269.742,27770.044,28259.605,28733.123,29185.902,29614.201,30015.604,30389.354,30736.494,31059.449,31360.903,31641.037,31901.687,32149.536,32393.14,32639.262,32890.387,33147.079,33411.592,33685.785,33970.73,34266.104,34571.226,34885.808,35209.249,35539.723,35878.44,36221.543,36555.782,36863.949,37133.86,37359.519,37544.332,37697.36,37832.568,37960.193,38082.94,38197.588,38301.349,38389.469,38458.642,38509.672,38544.838,38564.191,38567.868,38556.699,38529.585,38488.64,38441.821,38399.553,38368.957,38354.447,38353.339,38356.786,38351.924,38329.784,38286.824,38227.033,38158.043,38091.095,38034.076,37989.218,37953.176,37921.585,37887.771,37846.605,37797
Canada,13733.398,14078.449,14445.453,14834.905,15245.416,15673.764,16114.734,16561.263,17004.835,17436.204,17847.404,18233.965,18596.848,18943.237,19284.228,19627.973,19975.695,20324.786,20674.999,21025.257,21374.326,21723.465,22072.193,22415.313,22745.896,23059.266,23354.587,23634.377,23901.716,24161.133,24416.885,24668.159,24916.538,25171.436,25444.886,25744.807,26075.504,26432.894,26806.125,27179.497,27541.323,27888.813,28224.41,28547.964,28860.734,29164.153,29457.82,29742.378,30022.078,30302.511,30588.379,30880.072,31178.26,31488.046,31815.49,32164.313,32536.994,32930.795,33337.638,33746.093,34147.566,34539.156,34922.031,35296.535,35664.338,36026.668,36382.942,36732.091,37074.558,37411.038,37742.157,38067.913
Morocco,8985.986,9243.41,9528.979,9837.075,10162.948,10502.658,10853.173,11212.23,11578.378,11950.747,12328.532,12710.587,13094.89,13478.425,13857.656,14230.163,14595.351,14954.037,15307.267,15656.846,16004.732,16350.883,16696.89,17048.525,17413.149,17796.171,18198.836,18620.087,19059.773,19516.942,19990.006,20479.709,20984.023,21495.088,22002.641,22499.111,22980.334,23447.256,23903.592,24355.624,24807.461,25260.407,25711.41,26155.204,26584.473,26994.255,27383.472,27754.573,28110.447,28455.504,28793.672,29126.323,29454.765,29782.884,30115.196,30455.563,30804.689,31163.67,31536.807,31929.087,32343.384,32781.86,33241.898,33715.705,34192.358,34663.608,35126.274,35581.257,36029.089,36471.766,36910.558,37344.787
Saudi Arabia,3121.34,3198.811,3283.593,3372.837,3464.662,3558.165,3653.505,3751.798,3855.03,3965.799,4086.534,4218.852,4362.788,4516.54,4677.304,4843.632,5015.353,5195.124,5387.822,5599.909,5836.388,6100.631,6392.973,6711.922,7054.532,7419.486,7802.928,8207.695,8646.845,9137.928,9691.471,10311.771,10988.851,11701.132,12418.836,13118.998,13794.167,14445.663,15070.082,15666.289,16233.786,16772.695,17282.686,17763.297,18214.475,18638.79,19033.843,19407.138,19783.301,20194.531,20663.84,21202.646,21805.322,22456.645,23132.686,23816.175,24498.313,25184.589,25888.535,26630.303,27421.468,28267.591,29154.906,30052.058,30916.603,31717.676,32443.443,33101.183,33702.757,34268.529,34813.867,35340.68
Uzbekistan,6264.058,6470.057,6667.892,6864.761,7066.455,7277.336,7500.307,7736.86,7987.252,8250.719,8526.299,8813.619,9113.629,9428.906,9762.819,10116.87,10493.441,10889.499,11294.666,11694.843,12080.311,12446.444,12796.982,13140.797,13491.114,13857.469,14242.766,14643.881,15057.226,15476.928,15898.76,16321.692,16747.428,17177.663,17615.037,18061.283,18515.579,18976.411,19443.89,19918.119,20398.347,20884.862,21375.114,21861.974,22336.202,22791.033,23225.303,23640.487,24036.017,24412.051,24769.955,25108.554,25431.116,25749.109,26077.614,26427.785,26804.067,27204.711,27626.981,28065.469,28515.908,28977.006,29449.415,29932.63,30426.394,30929.556,31441.753,31959.774,32476.232,32981.715,33469.199,33935.765
Peru,7777.452,7976.478,8184.725,8401.373,8625.982,8858.392,9098.83,9347.833,9606.241,9875.016,10155.011,10446.618,10749.463,11062.295,11383.364,11711.402,12045.783,12386.868,12735.491,13092.846,13459.789,13836.365,14221.954,14615.847,15017.06,15424.745,15838.568,16258.323,16683.451,17113.393,17547.612,17985.398,18426.42,18870.988,19319.746,19772.871,20230.385,20691.285,21153.462,21614.193,22071.433,22522.383,22966.822,23408.135,23851.405,24299.168,24753.825,25210.957,25658.07,26078.295,26459.944,26799.289,27100.964,27372.217,27624.226,27866.14,28102.055,28333.05,28562.321,28792.663,29027.68,29264.314,29506.79,29773.986,30090.372,30470.739,30926.036,31444.299,31989.265,32510.462,32971.846,33359.416
Angola,4548.021,4616.552,4713.16,4823.33,4935.956,5043.251,5140.91,5228.005,5306.538,5380.718,5454.938,5531.451,5608.499,5679.409,5734.995,5770.573,5781.305,5774.44,5771.973,5803.677,5890.36,6041.239,6248.965,6497.283,6761.623,7023.994,7279.63,7533.814,7790.774,8058.112,8341.29,8640.478,8952.971,9278.104,9614.756,9961.993,10320.116,10689.247,11068.051,11454.784,11848.385,12248.901,12657.361,13075.044,13503.753,13945.205,14400.722,14871.572,15359.6,15866.871,16395.477,16945.753,17519.418,18121.477,18758.138,19433.604,20149.905,20905.36,21695.636,22514.275,23356.247,24220.66,25107.925,26015.786,26941.773,27884.38,28842.482,29816.769,30809.787,31825.299,32866.268,33933.611
Malaysia,6109.902,6271.228,6449.609,6639.418,6836.639,7038.91,7245.68,7458.015,7678.381,7910.188,8156.342,8417.821,8692.337,8973.791,9253.827,9526.558,9790.083,10046.321,10297.983,10549.395,10804.131,11062.434,11324.277,11592.638,11871.102,12162.189,12468.688,12790.313,13122.833,13460.035,13798.094,14134.06,14471.215,14819.43,15192.3,15598.924,16043.736,16522.004,17022.47,17528.961,18029.824,18519.941,19002.66,19484.901,19977.508,20487.604,21017.619,21562.79,22114.647,22661.293,23194.252,23709.115,24208.391,24698.821,25190.647,25690.615,26201.954,26720.367,27236.003,27735.038,28208.028,28650.962,29068.189,29468.923,29866.606,30270.965,30684.652,31104.655,31528.033,31949.789,32365.998,32776.195
Mozambique,5958.982,6059.446,6165.054,6275.232,6389.675,6508.4,6631.668,6760.108,6894.491,7035.799,7184.87,7342.117,7507.309,7679.465,7857.107,8039.217,8225.919,8417.698,8614.445,8816.056,9022.747,9232.655,9446.235,9668.655,9906.963,10165.216,10443.954,10738.534,11041.206,11341.405,11630.194,11913.085,12189.817,12439.773,12636.12,12764.385,12808.566,12786.353,12758.003,12805.95,12987.292,13328.029,13805.999,14370.95,14948.05,15483.277,15960.445,16397.175,16813.946,17244.176,17711.925,18221.884,18764.147,19331.097,19910.549,20493.927,21080.108,21673.319,22276.596,22894.718,23531.567,24187.5,24862.673,25560.752,26286.192,27042.001,27829.93,28649.007,29496.009,30366.043,31255.435,32163.045
Ghana,5036.151,5140.319,5268.648,5413.371,5568.654,5730.592,5897.345,6068.997,6247.304,6435.16,6635.229,6848.291,7071.966,7300.124,7524.47,7739.463,7941.418,8132.803,8321.773,8520.018,8735.493,8973.247,9229.64,9493.552,9749.098,9985.946,10199.164,10395.453,10590.265,10805.318,11056.112,11348.287,11676.828,12033.559,12405.659,12783.617,13164.839,13552.021,13947.047,14353.409,14773.274,15207.36,15653.345,16106.756,16561.677,17014.058,17462.504,17908.977,18357.159,18812.369,19278.85,19756.929,20246.376,20750.308,21272.328,21814.648,22379.057,22963.946,23563.832,24170.943,24779.614,25387.713,25996.454,26607.641,27224.48,27849.203,28481.947,29121.464,29767.108,30417.858,31072.945,31732.128
Yemen,4661.279,4717.141,4776.184,4837.606,4900.843,4965.567,5031.695,5099.348,5168.87,5240.716,5315.351,5393.034,5473.671,5556.767,5641.598,5727.745,5816.241,5907.873,6001.858,6097.042,6193.379,6290.367,6390.573,6500.809,6630.003,6784.699,6967.944,7178.672,7414.167,7669.699,7941.903,8231.905,8541.605,8869.363,9213.078,9572.17,9941.102,10322.044,10730.864,11189.185,11709.987,12302.127,12954.157,13634.082,14297.617,14913.313,15469.274,15975.676,16450.306,16921.157,17409.071,17918.369,18443.684,18985.001,19540.096,20107.416,20687.648,21282.514,21892.149,22516.464,23154.854,23807.586,24473.176,25147.112,25823.488,26497.881,27168.21,27834.811,28498.683,29161.922,29825.968,30490.639
Nepal,8483.322,8663.602,8834.698,8999.194,9159.32,9316.916,9473.411,9629.865,9786.976,9945.213,10105.06,10267.26,10433.147,10604.62,10783.958,10972.912,11172.53,11382.965,11603.921,11834.657,12074.628,12323.984,12583.142,12852.205,13131.26,13420.367,13719.466,14028.535,14347.653,14676.932,15016.408,15367.229,15729.431,16100.623,16477.488,16858.315,17239.677,17623.697,18020.755,18445.021,18905.48,19405.506,19938.322,20489.973,21040.899,21576.074,22090.352,22584.772,23057.875,23509.971,23941.099,24347.113,24725.625,25080.88,25419.337,25744.5,26066.687,26382.586,26666.581,26883.531,27013.207,27041.22,26989.16,26916.795,26905.982,27015.033,27263.43,27632.682,28095.712,28608.715,29136.808,29674.92
Venezuela (Bolivarian Republic of),5481.976,5726.61,5974.437,6226.29,6482.858,6744.704,7012.177,7285.566,7564.987,7850.42,8141.839,8439.261,8742.78,9052.632,9369.101,9692.281,10022.592,10359.741,10702.281,11048.256,11396.396,11745.952,12097.696,12453.709,12816.954,13189.511,13572.21,13964.377,14364.726,14771.27,15182.616,15597.878,16017.57,16443.128,16876.703,17319.513,17772,18232.733,18698.85,19166.474,19632.665,20096.314,20557.694,21016.9,21474.553,21931.087,22385.65,22837.743,23288.567,23739.835,24192.449,24646.471,25100.407,25551.624,25996.594,26432.445,26850.19,27247.601,27635.827,28031.01,28439.942,28887.873,29360.827,29781.046,30042.973,30081.827,29851.249,29402.48,28887.117,28515.829,28435.943,28704.947
Madagascar,4083.548,4168.388,4256.761,4348.724,4444.287,4543.54,4646.579,4753.531,4864.52,4979.746,5099.368,5223.561,5352.497,5486.319,5625.164,5769.215,5918.592,6073.529,6234.468,6401.92,6576.305,6757.853,6946.619,7142.634,7345.773,7556.032,7773.452,7998.157,8230.214,8469.677,8716.549,8971.339,9234.137,9504.283,9780.869,10063.493,10352.117,10647.753,10952.396,11268.653,11598.647,11942.809,12301.338,12675.469,13066.544,13475.403,13902.697,14347.86,14808.791,15282.524,15766.806,16260.933,16765.122,17279.139,17802.992,18336.722,18880.265,19433.52,19996.476,20569.115,21151.64,21743.97,22346.641,22961.259,23589.897,24234.08,24894.37,25570.511,26262.313,26969.306,27691.019,28427.333
Cameroon,4307.021,4383.964,4462.133,4541.788,4623.28,4707,4793.394,4883.012,4976.413,5074.196,5176.92,5285.015,5398.73,5518.104,5643.039,5773.538,5909.874,6052.419,6201.41,6357.096,6519.754,6689.659,6867.17,7052.847,7247.284,7451.057,7664.398,7887.571,8121.081,8365.56,8621.409,8888.534,9166.813,9456.496,9757.849,10070.806,10395.481,10731.058,11075.423,11425.807,11780.086,12137.912,12499.499,12864.091,13230.978,13599.984,13970.812,14344.444,14723.772,15112.598,15513.944,15928.91,16357.605,16800.869,17259.322,17733.408,18223.677,18730.283,19252.674,19789.922,20341.236,20906.392,21485.267,22077.3,22681.853,23298.376,23926.549,24566.07,25216.261,25876.387,26545.864,27224.262
Côte d'Ivoire,2630.131,2690.625,2761.084,2838.189,2919.713,3004.421,3092.2,3183.962,3281.513,3387.29,3503.559,3631.547,3770.756,3918.63,4071.411,4226.843,4383.723,4544.168,4713.134,4897.47,5102.07,5328.735,5576.026,5841.513,6121.295,6412.409,6713.949,7026.497,7350.269,7685.927,8033.652,8393.689,8764.991,9144.94,9530.103,9918.204,10307.268,10698.188,11094.74,11502.453,11924.873,12362.404,12812.428,13271.638,13735.438,14199.759,14665.125,15130.674,15589.407,16032.573,16454.66,16853.027,17231.539,17599.613,17970.493,18354.513,18754.914,19171.25,19605.568,20059.147,20532.944,21028.652,21547.188,22087.506,22647.672,23226.148,23822.726,24437.475,25069.226,25716.554,26378.275,27053.629
Dem. People's Republic of Korea,10549.47,10248.503,10049.02,9957.244,9972.434,10086.997,10285.935,10547.385,10843.977,11145.152,11424.189,11665.592,11871.726,12065.468,12282.417,12547.524,12864.947,13222.703,13609.976,14010.339,14410.391,14809.518,15207.765,15593.353,15952.077,16274.737,16554.744,16796.568,17015.984,17235.668,17472.144,17731.229,18008.568,18298.212,18590.142,18877.226,19156.791,19431.992,19708.316,19993.757,20293.057,20609.151,20937.407,21265.832,21577.979,21862.3,22113.428,22335.263,22536.754,22731.47,22929.078,23132.982,23339.453,23542.434,23732.74,23904.167,24054.866,24188.33,24310.143,24428.34,24548.84,24673.392,24800.638,24929.5,25057.793,25183.832,25307.665,25429.816,25549.606,25666.158,25778.815,25887.045
Australia,8177.348,8398.224,8595.064,8782.177,8970.121,9165.7,9371.781,9587.459,9808.595,10028.799,10242.07,10445.836,10643.42,10845.179,11065.419,11313.186,11593.402,11899.644,12215.704,12518.931,12793.03,13033.13,13244.163,13431.79,13605.574,13773.29,13935.722,14092.545,14249.403,14413.002,14588.4,14777.241,14979.203,15194.644,15423.156,15663.672,15917.58,16183.159,16452.258,16713.989,16960.6,17189.235,17402.179,17603.211,17798.526,17993.083,18189.274,18387.205,18587.027,18788.187,18991.434,19194.676,19401.366,19624.163,19879.654,20178.543,20526.3,20916.339,21332.293,21750.852,22154.687,22538.002,22903.951,23254.912,23596.426,23932.499,24262.71,24584.619,24898.153,25203.2,25499.881,25788.217
Niger,2559.706,2638.13,2716.815,2795.799,2875.271,2955.536,3037.052,3120.419,3206.341,3295.568,3388.774,3486.322,3588.228,3693.985,3802.802,3914.118,4027.969,4144.588,4263.925,4385.925,4510.645,4637.984,4768.225,4902.151,5040.795,5184.94,5335.083,5491.158,5652.655,5818.763,5989,6163.711,6343.53,6528.646,6719.31,6915.994,7118.885,7328.934,7548.429,7780.242,8026.592,8288.739,8566.773,8860.297,9168.316,9490.289,9826.6,10178.196,10545.72,10929.922,11331.561,11751.364,12189.988,12647.983,13125.914,13624.474,14143.969,14685.404,15250.913,15843.131,16464.025,17114.77,17795.209,18504.287,19240.182,20001.663,20788.789,21602.388,22442.831,23310.719,24206.636,25130.81
"China, Taiwan Province of China",7602.355,7930.652,8250.801,8565.438,8877.424,9189.972,9506.264,9829.714,10163.801,10511.794,10876.147,11257.766,11655.382,12065.306,12482.182,12901.154,13322.036,13743.215,14156.751,14552.756,14924.462,15268.159,15586.149,15885.232,16175.596,16464.929,16754.741,17043.397,17331.481,17618.937,17905.459,18191.727,18477.501,18760.237,19036.463,19303.402,19560.164,19806.742,20042.355,20266.424,20478.516,20679.072,20868.148,21044.7,21207.424,21356.025,21488.994,21608.309,21721.513,21838.635,21966.528,22108.715,22262.297,22419.785,22570.229,22705.719,22823.846,22927.222,23019.042,23104.542,23187.556,23268.76,23346.898,23421.582,23491.976,23557.473,23618.201,23674.546,23726.46,23773.881,23816.775,23855.008
Sri Lanka,7971.098,8108.428,8256.559,8417.112,8591.021,8778.441,8978.765,9190.652,9412.139,9640.82,9874.476,10111.639,10352.18,10597.516,10849.977,11110.825,11380.665,11657.65,11937.607,12214.948,12485.736,12747.831,13002.234,13252.033,13501.931,13755.141,14012.894,14273.495,14533.691,14788.866,15035.84,15272.822,15501.21,15724.641,15948.501,16176.282,16408.861,16643.956,16878.186,17106.752,17325.769,17535.732,17736.827,17924.827,18094.474,18242.917,18367.29,18470.897,18564.595,18663.293,18777.606,18911.727,19062.476,19224.036,19387.153,19544.988,19695.977,19842.044,19983.984,20123.508,20261.738,20398.496,20532.599,20663.053,20788.512,20908.024,21021.177,21128.028,21228.76,21323.734,21413.25,21497.306
Burkina Faso,4284.455,4324.493,4367.137,4413.202,4463.165,4517.155,4574.945,4635.951,4699.345,4764.085,4829.289,4894.58,4960.328,5027.811,5098.891,5174.874,5256.36,5343.025,5434.046,5528.172,5624.592,5723.378,5825.174,5930.493,6040.045,6154.554,6274.032,6398.933,6530.82,6671.656,6822.837,6985.166,7158.259,7340.91,7531.239,7727.908,7930.689,8140.08,8356.313,8579.818,8811.033,9050.086,9297.11,9552.473,9816.584,10089.88,10372.734,10665.552,10968.722,11282.696,11607.951,11944.589,12293.097,12654.624,13030.576,13421.935,13829.173,14252.029,14689.725,15141.098,15605.211,16081.915,16571.252,17072.791,17586.029,18110.616,18646.35,19193.236,19751.466,20321.383,20903.278,21497.097
Mali,4708.425,4759.043,4811.202,4864.752,4919.548,4975.4,5032.123,5089.512,5147.342,5205.447,5263.727,5322.269,5381.367,5441.618,5503.75,5568.495,5635.864,5706.192,5780.836,5861.417,5949.042,6044.524,6147.464,6256.191,6368.346,6482.282,6596.721,6712.267,6831.09,6956.409,7090.124,7234.725,7388.67,7545.163,7694.857,7831.888,7952.863,8062.216,8171.525,8296.919,8449.915,8635.528,8850.334,9087.173,9334.893,9585.66,9837.575,10094.363,10360.564,10642.937,10946.448,11271.603,11616.89,11982.692,12369.078,12775.509,13203.378,13651.455,14113.578,14581.427,15049.352,15514.593,15979.492,16449.854,16934.213,17438.772,17965.448,18512.429,19077.755,19658.023,20250.834,20855.724
Romania,16236.289,16512.67,16764.911,17005.719,17243.812,17483.935,17726.634,17968.47,18202.715,18420.45,18613.945,18780.21,18924.152,19059.934,19207.139,19379.575,19582.332,19810.612,20055.976,20305.348,20548.912,20783.555,21011.147,21232.622,21450.405,21665.64,21879.077,22087.896,22285.505,22463.31,22615.644,22737.209,22830.547,22907.296,22983.962,23071.258,23175.055,23288.388,23393.739,23466.413,23489.156,23456.646,23375.828,23256.959,23115.814,22964.747,22805.706,22637.6,22466.291,22298.122,22137.423,21989.354,21853.278,21720.403,21577.89,21417.287,21234.312,21034.196,20829.521,20637.995,20471.86,20336.718,20227.467,20132.78,20035.928,19925.182,19796.28,19653.966,19506.11,19364.558,19237.682,19127.772
Malawi,2953.871,3011.789,3072.386,3135.689,3201.722,3270.545,3342.254,3416.929,3494.687,3575.665,3659.98,3747.758,3839.047,3933.914,4032.364,4134.464,4240.43,4350.456,4464.427,4582.197,4703.783,4829.092,4958.556,5093.368,5235.074,5384.798,5545.653,5717.954,5896.864,6075.485,6250.434,6412.38,6565.985,6737.924,6964.613,7268.271,7666.39,8141.14,8636.686,9075.568,9404.499,9600.361,9685.974,9710.335,9745.695,9844.418,10022.783,10264.906,10552.345,10854.325,11148.751,11432.001,11713.663,12000.183,12301.837,12625.95,12973.693,13341.808,13727.899,14128.161,14539.609,14962.118,15396.01,15839.287,16289.55,16745.305,17205.253,17670.193,18143.215,18628.749,19129.955,19647.681
Chile,6598.518,6729.58,6869.714,7016.465,7167.909,7322.655,7479.848,7639.207,7800.869,7965.324,8132.988,8303.804,8476.895,8650.39,8821.855,8989.607,9152.848,9312.091,9468.851,9625.304,9783.134,9942.716,10103.675,10265.827,10428.803,10592.31,10756.876,10922.777,11089.165,11254.877,11419.35,11582.02,11743.909,11907.955,12078.137,12257.238,12445.833,12642.917,12847.712,13058.758,13274.617,13495.255,13719.818,13944.934,14166.346,14380.864,14587.367,14786.227,14977.736,15162.801,15342.35,15516.112,15684.413,15849.649,16014.972,16182.713,16354.507,16530.201,16708.255,16886.184,17062.531,17233.584,17400.359,17571.511,17758.969,17969.356,18209.072,18470.435,18729.166,18952.035,19116.209,19212.362
Kazakhstan,6703,6811.564,7006.641,7269.054,7582.298,7932.517,8308.594,8702.076,9106.9,9518.906,9934.564,10349.422,10756.931,11147.86,11511.856,11841.926,12132.56,12385.706,12611.432,12824.614,13036.14,13250.211,13463.985,13673.014,13869.975,14050.227,14212.145,14359.629,14499.957,14643.133,14796.175,14958.897,15128.09,15303.316,15483.411,15665.594,15852.524,16039.253,16205.998,16326.848,16383.881,16373.308,16302.809,16181.161,16022.224,15839.357,15631.926,15406.005,15190.168,15020.573,14922.724,14910.207,14976.184,15100.045,15250.016,15402.803,15551.263,15702.112,15862.126,16043.015,16252.273,16490.669,16751.523,17026.118,17302.619,17572.01,17830.902,18080.023,18319.616,18551.428,18776.707,18994.958
