Location,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Japan,82802.084,84316.265,85659.438,86869.979,87980.574,89018.255,90004.18,90953.812,91877.637,92782.242,93673.612,94560.714,95458.517,96389.422,97379.402,98447.007,99596.075,100822.283,102124.002,103496.032,104929.26,106427.102,107976.03,109528.514,111022.692,112413.362,113679.19,114827.826,115879.222,116867.356,117816.942,118732.838,119605.254,120427.643,121189.269,121883.483,122509.119,123072.72,123584.522,124058.517,124505.243,124929.764,125331.3,125707.407,126053.127,126365.486,126644.099,126892.745,127117.436,127326.063,127524.168,127713.824,127893.075,128058.368,128204.183,128326.115,128422.74,128494.05,128538.644,128555.196,128542.349,128498.966,128423.571,128314.189,128168.63,127985.139,127763.267,127502.728,127202.19,126860.299,126476.458,126050.796
Ethiopia,18128.03,18466.973,18819.701,19184.288,19560.012,19947.291,20347.81,20764.45,21201.028,21661.994,22151.284,22671.193,23221.385,23798.418,24397.01,25013.634,25641.04,26280.135,26944.386,27652.715,28415.08,29248.65,30140.799,31036.67,31861.353,32566.855,33128.151,33577.24,33993.301,34487.806,35141.703,35984.531,36995.246,38142.679,39374.346,40652.146,41965.696,43329.238,44757.205,46272.308,47887.864,49609.976,51423.591,53295.556,55180.993,57047.906,58883.531,60697.443,62507.724,64343.008,66224.809,68159.422,70142.09,72170.581,74239.508,76346.31,78489.205,80674.343,82916.236,85233.923,87639.962,90139.928,92726.982,95385.793,98094.264,100835.453,103603.461,106399.926,109224.41,112078.727,114963.583,117876.226
Andean Community,26311.024,26957.864,27644.024,28367.504,29126.858,29921.052,30749.689,31612.75,32510.71,33444.175,34413.344,35417.565,36454.572,37520.455,38610.158,39719.489,40847.457,41993.072,43152.179,44319.915,45493.232,46669.521,47850.152,49041.115,50251.015,51485.991,52747.922,54034.833,55344.423,56672.876,58017.23,59376.752,60751.984,62142.577,63548.565,64969.625,66404.474,67851.888,69311.883,70784.677,72269.772,73764.643,75266.438,76773.724,78285.174,79798.145,81312.649,82823.67,84317.587,85776.938,87189.302,88550.149,89862.614,91131.587,92365.613,93572.011,94757.784,95925.554,97074.49,98201.919,99310.09,100383.897,101434.287,102519.326,103716.427,105073.16,106624.022,108332.352,110087.82,111736.664,113170.819,114346.667
Philippines,18580.483,19246.603,19945.269,20669.608,21414.578,22177.06,22955.908,23751.87,24567.266,25405.531,26269.741,27161.052,28077.345,29012.63,29958.687,30909.997,31864.175,32823.97,33795.203,34786.309,35803.591,36849.678,37923.4,39022.759,40144.25,41285.741,42446.659,43629.415,44838.485,46079.844,47357.741,48672.831,50023.564,51408.91,52827.047,54275.836,55755.346,57263.835,58794.999,60340.768,61895.169,63454.785,65020.124,66593.904,68180.846,69784.087,71401.743,73030.879,74672.009,76325.927,77991.757,79672.869,81365.26,83051.97,84710.544,86326.251,87888.675,89405.482,90901.967,92414.161,93966.784,95570.049,97212.639,98871.558,100513.137,102113.206,103663.812,105172.921,106651.394,108116.622,109581.085,111046.91
Egypt,20451.988,20948.6,21473.792,22028.132,22611.502,23223.125,23861.509,24524.531,25209.459,25913.227,26632.891,27366.239,28112.258,28871.383,29644.875,30433.024,31237.597,32056.506,32881.852,33703.127,34513.851,35311.905,36102.67,36896.551,37708.144,38549.133,39422.731,40329.589,41275.728,42267.429,43309.063,44400.113,45539.295,46728.284,47968.643,49258.726,50602.36,51991.696,53399.243,54788.68,56134.478,57424.552,58666.812,59880.656,61095.804,62334.025,63601.632,64892.269,66200.259,67515.591,68831.561,70152.662,71485.044,72826.102,74172.073,75523.576,76873.67,78232.124,79636.081,81134.789,82761.244,84529.251,86422.24,88404.652,90424.668,92442.549,94447.071,96442.59,98423.602,100388.076,102334.403,104258.327
Viet Nam,24809.909,25364.522,25976.851,26646.077,27370.469,28147.442,28973.439,29844.053,30754.086,31697.9,32670.048,33666.111,34683.41,35721.213,36780.001,37858.947,38958.046,40072.951,41193.588,42307.149,43404.802,44484.032,45548.476,46603.522,47657.554,48718.19,49785.278,50861.166,51959.021,53095.406,54281.841,55522.804,56814.309,58148.384,59512.619,60896.732,62293.859,63701.974,65120.432,66550.231,67988.855,69436.956,70883.488,72300.308,73651.22,74910.462,76068.739,77133.212,78115.712,79035.871,79910.411,80742.5,81534.406,82301.65,83062.819,83832.662,84617.545,85419.588,86243.424,87092.25,87967.655,88871.384,89801.926,90752.593,91713.85,92677.082,93640.435,94600.643,95545.959,96462.108,97338.583,98168.829
Democratic Republic of the Congo,12183.662,12428.907,12681.011,12944.45,13222.533,13517.516,13830.425,14161.223,14508.915,14871.788,15248.256,15637.7,16041.187,16461.828,16903.83,17369.882,17862.052,18378.62,18913.874,19459.818,20011.033,20564.062,21121.36,21690.448,22282.127,22903.587,23560.47,24249.127,24956.387,25663.598,26358.905,27040.329,27717.293,28403.858,29119.663,29881.222,30683.877,31528.702,32443.784,33464.767,34612.023,35908.24,37333.917,38815.835,40252.973,41576.239,42757.239,43827.191,44849.968,45919.615,47105.83,48428.534,49871.67,51425.583,53068.869,54785.894,56578.046,58453.687,60411.195,62448.572,64563.853,66755.151,69020.749,71358.804,73767.445,76244.532,78789.13,81398.765,84068.092,86790.568,89561.404,92377.986
Turkey,21408.398,21951.203,22508.952,23081.587,23668.91,24270.599,24886.127,25514.825,26155.927,26808.633,27472.339,28146.909,28832.831,29531.362,30244.258,30972.996,31717.504,32477.994,33256.465,34055.391,34876.296,35720.603,36587.267,37472.329,38370.278,39277.249,40189.561,41108.29,42039.983,42994.043,43975.972,44988.411,46025.411,47073.47,48114.158,49133.928,50128.548,51100.93,52053.764,52992.479,53921.758,54840.595,55748.946,56653.808,57564.209,58486.453,59423.278,60372.571,61329.665,62287.391,63240.196,64192.243,65145.357,66089.402,67010.93,67903.461,68756.809,69581.854,70418.612,71321.406,72326.992,73443.254,74651.046,75925.454,77229.262,78529.413,79827.868,81116.451,82340.09,83429.607,84339.067,85042.736
Iran (Islamic Republic of),17119.262,17516.672,17933.502,18369.052,18822.753,19294.136,19782.818,20288.542,20811.135,21350.565,21906.909,22480.371,23071.309,23680.246,24307.855,24954.865,25624.38,26317.776,27032.576,27764.928,28513.872,29281.583,30075.295,30905.721,31786.481,32729.772,33733.975,34803.041,35960.811,37237.145,38650.244,40199.911,41869.231,43636.838,45472.792,47347.197,49260.263,51193.782,53077.312,54822.005,56366.212,57679.025,58780.376,59723.761,60590.608,61442.658,62294.919,63136.309,63971.836,64800.875,65623.397,66449.111,67284.801,68122.947,68951.279,69762.345,70554.756,71336.476,72120.608,72924.833,73762.519,74634.959,75539.881,76481.963,77465.769,78492.208,79563.991,80673.888,81800.204,82913.893,83992.953,85028.76
Germany,69966.252,70300.011,70620.275,70929.839,71233.393,71537.454,71850.645,72183.453,72547.581,72954.885,73414.229,73928.077,74489.45,75080.749,75677.305,76258.034,76819.57,77357.251,77847.179,78260.756,78578.381,78789.931,78901.826,78932.455,78909.808,78856.031,78781.74,78687.323,78573.588,78438.171,78283.101,78107.86,77926.016,77770.21,77682.293,77691.591,77806.136,78015.742,78307.525,78660.301,79053.984,79490.831,79963.166,80428.557,80832.928,81138.653,81323.666,81399.25,81402.671,81389.935,81400.883,81453.894,81535.124,81614.371,81646.474,81602.739,81472.235,81277.836,81065.751,80899.961,80827.001,80855.629,80972.629,81174.373,81450.37,81787.411,82193.77,82658.409,83124.413,83517.046,83783.945,83900.471
